"","STG","SCG","STR","LPR","PEG","UNS"
"1",0,0,0,0,0,"very_low"
"2",0.08,0.08,0.1,0.24,0.9,"High"
"3",0.06,0.06,0.05,0.25,0.33,"Low"
"4",0.1,0.1,0.15,0.65,0.3,"Middle"
"5",0.08,0.08,0.08,0.98,0.24,"Low"
"6",0.09,0.15,0.4,0.1,0.66,"Middle"
"7",0.1,0.1,0.43,0.29,0.56,"Middle"
"8",0.15,0.02,0.34,0.4,0.01,"very_low"
"9",0.2,0.14,0.35,0.72,0.25,"Low"
"10",0,0,0.5,0.2,0.85,"High"
"11",0.18,0.18,0.55,0.3,0.81,"High"
"12",0.06,0.06,0.51,0.41,0.3,"Low"
"13",0.1,0.1,0.52,0.78,0.34,"Middle"
"14",0.1,0.1,0.7,0.15,0.9,"High"
"15",0.2,0.2,0.7,0.3,0.6,"Middle"
"16",0.12,0.12,0.75,0.35,0.8,"High"
"17",0.05,0.07,0.7,0.01,0.05,"very_low"
"18",0.1,0.25,0.1,0.08,0.33,"Low"
"19",0.15,0.32,0.05,0.27,0.29,"Low"
"20",0.2,0.29,0.25,0.49,0.56,"Middle"
"21",0.12,0.28,0.2,0.78,0.2,"Low"
"22",0.18,0.3,0.37,0.12,0.66,"Middle"
"23",0.1,0.27,0.31,0.29,0.65,"Middle"
"24",0.18,0.31,0.32,0.42,0.28,"Low"
"25",0.06,0.29,0.35,0.76,0.25,"Low"
"26",0.09,0.3,0.68,0.18,0.85,"High"
"27",0.04,0.28,0.55,0.25,0.1,"very_low"
"28",0.09,0.255,0.6,0.45,0.25,"Low"
"29",0.08,0.325,0.62,0.94,0.56,"High"
"30",0.15,0.275,0.8,0.21,0.81,"High"
"31",0.12,0.245,0.75,0.31,0.59,"Middle"
"32",0.15,0.295,0.75,0.65,0.24,"Low"
"33",0.1,0.256,0.7,0.76,0.16,"Low"
"34",0.18,0.32,0.04,0.19,0.82,"High"
"35",0.2,0.45,0.28,0.31,0.78,"High"
"36",0.06,0.35,0.12,0.43,0.29,"Low"
"37",0.1,0.42,0.22,0.72,0.26,"Low"
"38",0.18,0.4,0.32,0.08,0.33,"Low"
"39",0.09,0.33,0.31,0.26,0,"very_low"
"40",0.19,0.38,0.38,0.49,0.45,"Middle"
"41",0.02,0.33,0.36,0.76,0.1,"Low"
"42",0.2,0.49,0.6,0.2,0.78,"High"
"43",0.14,0.49,0.55,0.29,0.6,"Middle"
"44",0.18,0.33,0.61,0.64,0.25,"Middle"
"45",0.115,0.35,0.65,0.27,0.04,"very_low"
"46",0.17,0.36,0.8,0.14,0.66,"Middle"
"47",0.1,0.39,0.75,0.31,0.62,"Middle"
"48",0.13,0.39,0.85,0.38,0.77,"High"
"49",0.18,0.34,0.71,0.71,0.9,"High"
"50",0.09,0.51,0.02,0.18,0.67,"Middle"
"51",0.06,0.5,0.09,0.28,0.25,"Low"
"52",0.23,0.7,0.19,0.51,0.45,"Middle"
"53",0.09,0.55,0.12,0.78,0.05,"Low"
"54",0.24,0.75,0.32,0.18,0.86,"High"
"55",0.18,0.72,0.37,0.29,0.55,"Middle"
"56",0.1,0.6,0.33,0.42,0.26,"Low"
"57",0.2,0.52,0.36,0.84,0.25,"Middle"
"58",0.09,0.6,0.66,0.19,0.59,"Middle"
"59",0.18,0.51,0.58,0.33,0.82,"High"
"60",0.08,0.58,0.6,0.64,0.1,"Low"
"61",0.09,0.61,0.53,0.75,0.01,"Low"
"62",0.06,0.77,0.72,0.19,0.56,"Middle"
"63",0.15,0.79,0.78,0.3,0.51,"Middle"
"64",0.2,0.68,0.73,0.48,0.28,"Low"
"65",0.24,0.58,0.76,0.8,0.28,"Middle"
"66",0.25,0.1,0.03,0.09,0.15,"very_low"
"67",0.32,0.2,0.06,0.26,0.24,"very_low"
"68",0.29,0.06,0.19,0.55,0.51,"Middle"
"69",0.28,0.1,0.12,0.28,0.32,"Low"
"70",0.3,0.08,0.4,0.02,0.67,"Middle"
"71",0.27,0.12,0.37,0.29,0.58,"Middle"
"72",0.31,0.1,0.41,0.42,0.75,"High"
"73",0.29,0.15,0.33,0.66,0.08,"very_low"
"74",0.3,0.2,0.52,0.3,0.53,"Middle"
"75",0.28,0.16,0.69,0.33,0.78,"High"
"76",0.255,0.18,0.5,0.4,0.1,"very_low"
"77",0.265,0.06,0.57,0.75,0.1,"Low"
"78",0.275,0.1,0.72,0.1,0.3,"Low"
"79",0.245,0.1,0.71,0.26,0.2,"very_low"
"80",0.295,0.2,0.86,0.44,0.28,"Low"
"81",0.32,0.12,0.79,0.76,0.24,"Low"
