"","Accuracy","Kappa","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","time","id"
"Adaboost",0.797,0.577,0.89,0.674,0.781,0.825,0.566,0.504,0.645,0.782,333.34,"Adaboost"
"eXtreme Grad. B.",0.806,0.589,0.876,0.702,0.815,0.79,0.6,0.526,0.645,0.789,98.8099999999999,"eXtreme Grad. B."
"Gradient Boosting",0.811,0.602,0.887,0.703,0.812,0.811,0.591,0.524,0.645,0.795,39.5700000000002,"Gradient Boosting"
"KNN",0.727,0.417,0.805,0.605,0.762,0.664,0.61,0.491,0.645,0.705,9.40999999999985,"KNN"
"LDA",0.806,0.583,0.861,0.715,0.835,0.755,0.625,0.538,0.645,0.788,3.05999999999995,"LDA"
"Logistic",0.787,0.538,0.843,0.691,0.823,0.72,0.63,0.531,0.645,0.767,3.80999999999995,"Logistic"
"Naive Bayes",0.764,0.521,0.887,0.626,0.727,0.832,0.529,0.469,0.645,0.757,98.6399999999999,"Naive Bayes"
"NNrprop-",0.772,0.506,0.831,0.671,0.812,0.699,0.63,0.524,0.645,0.751,37,"NNrprop-"
"NNrprop+",0.779,0.524,0.841,0.678,0.812,0.72,0.623,0.524,0.645,0.759,42.75,"NNrprop+"
"NNsag",0.774,0.515,0.839,0.669,0.804,0.72,0.618,0.519,0.645,0.754,37.67,"NNsag"
"NNslr",0.752,0.46,0.81,0.648,0.804,0.657,0.64,0.519,0.645,0.729,39.83,"NNslr"
"Random Forest",0.816,0.608,0.878,0.72,0.831,0.79,0.61,0.536,0.645,0.799,301.14,"Random Forest"
"Rpart",0.762,0.494,0.839,0.646,0.781,0.727,0.6,0.504,0.645,0.742,2.63999999999987,"Rpart"
"svmLinear",0.801,0.574,0.863,0.703,0.823,0.762,0.615,0.531,0.645,0.783,24.0900000000001,"svmLinear"
"svmPoly",0.806,0.586,0.87,0.707,0.823,0.776,0.61,0.531,0.645,0.788,187.61,"svmPoly"
"svmRadial",0.814,0.602,0.874,0.718,0.831,0.783,0.613,0.536,0.645,0.796,33.6100000000001,"svmRadial"
"AdaBoost",0.929,0.837,1,0.9,0.8,1,0.286,0.286,0.357,0.95,140.45,"AdaBoost"
"eXtreme Grad. B.1",0.929,0.837,1,0.9,0.8,1,0.286,0.286,0.357,0.95,32.0800000000008,"eXtreme Grad. B."
"Gradient Boosting1",0.929,0.837,1,0.9,0.8,1,0.286,0.286,0.357,0.95,4.78000000000065,"Gradient Boosting"
"KNN1",0.829,0.582,1,0.789,0.52,1,0.186,0.186,0.357,0.895,1.22000000000025,"KNN"
"Logistic1",0.886,0.732,1,0.849,0.68,1,0.243,0.243,0.357,0.925,1.46000000000004,"Logistic"
"Naive Bayes1",0.871,0.717,0.833,0.891,0.8,0.911,0.343,0.286,0.357,0.862,7.72999999999956,"Naive Bayes"
"NNrprop-1",0.9,0.772,0.95,0.88,0.76,0.978,0.286,0.271,0.357,0.915,1.06,"NNrprop-"
"NNrprop+1",0.914,0.806,0.952,0.898,0.8,0.978,0.3,0.286,0.357,0.925,1.72,"NNrprop+"
"NNsag1",0.914,0.803,1,0.882,0.76,1,0.271,0.271,0.357,0.941,3.74,"NNsag"
"NNslr1",0.914,0.806,0.952,0.898,0.8,0.978,0.3,0.286,0.357,0.925,1.84,"NNslr"
"Random Forest1",0.914,0.806,0.952,0.898,0.8,0.978,0.3,0.286,0.357,0.925,14.5900000000001,"Random Forest"
"Rpart1",0.9,0.772,0.95,0.88,0.76,0.978,0.286,0.271,0.357,0.915,1.49000000000069,"Rpart"
"sQDA",0.914,0.806,0.952,0.898,0.8,0.978,0.3,0.286,0.357,0.925,54.4300000000003,"sQDA"
"svmLinear1",0.871,0.696,1,0.833,0.64,1,0.229,0.229,0.357,0.917,5.82999999999993,"svmLinear"
"svmPoly1",0.9,0.772,0.95,0.88,0.76,0.978,0.286,0.271,0.357,0.915,14.5800000000008,"svmPoly"
"svmRadial1",0.943,0.871,1,0.918,0.84,1,0.3,0.3,0.357,0.959,6.47000000000025,"svmRadial"
"eXtreme Grad. B.2",0.937,0.912,0.833,1,1,0.907,0.38,0.316,0.316,0.917,92.01,"eXtreme Grad. B."
"Gradient Boosting2",0.949,0.93,0.889,0.981,0.96,0.944,0.342,0.304,0.316,0.935,6.22000000000001,"Gradient Boosting"
"KNN2",0.835,0.769,0.714,1,1,0.815,0.443,0.316,0.316,0.857,1.03,"KNN"
"LDA1",0.937,0.912,0.833,1,1,0.907,0.38,0.316,0.316,0.917,1.08,"LDA"
"Naive Bayes2",0.911,0.878,0.833,1,1,0.907,0.38,0.316,0.316,0.917,3.85999999999999,"Naive Bayes"
"NNrprop-2",0.924,0.896,0.857,0.98,0.96,0.926,0.354,0.304,0.316,0.919,31.34,"NNrprop-"
