"","Time","Calinski_Harabasz","CIndex","id"
"kmeans",0.05703712,375.8,0.0558,"kmeans"
"pam",0.08698702,374.61,0.056,"pam"
"clara",0.3515151,349.29,0.0826,"clara"
"hclust",0.06108713,329.78,0.0698,"hclust"
"dbscan",0.30057,314.67,0.3214,"dbscan"
"nbclust",0.20836,352.83,0.06356,"nbclust"
"mclust",66.096,234.14,0.07962,"mclust"
"kmeans1",0.07640004,54.97529,0.07792885,"kmeans"
"pam1",0.553493,58.14732,0.09497314,"pam"
"clara1",0.156563,49.17934,0.1318833,"clara"
"hclust1",0.1242771,49.03108,0.1342278,"hclust"
"dbscan1",0.132267,43.33908,0.3199434,"dbscan"
"nbclust1",3.51663,57.53891,0.1121687,"nbclust"
